Condition,Target,C,R,B,S,A
H050_C,fitted policy,"93.8 [92.1, 95.1]","99.8 [99.3, 99.9]","99.4 [98.7, 99.7]","94.2 [92.6, 95.5]","99.3 [98.6, 99.7]"
H050_C,procedure average,"58.5 [55.4, 61.5]","100.0 [99.6, 100.0]","89.9 [87.9, 91.6]","60.3 [57.2, 63.3]","89.6 [87.6, 91.3]"
H050_Q125,fitted policy,"94.4 [92.8, 95.7]","99.9 [99.4, 100.0]","99.5 [98.8, 99.8]","94.7 [93.1, 95.9]","99.4 [98.7, 99.7]"
H050_Q125,procedure average,"56.8 [53.7, 59.8]","100.0 [99.6, 100.0]","86.6 [84.3, 88.6]","57.9 [54.8, 60.9]","86.5 [84.2, 88.5]"
H050_Q500,fitted policy,"92.4 [90.6, 93.9]","98.7 [97.8, 99.2]","98.3 [97.3, 98.9]","93.0 [91.2, 94.4]","98.4 [97.4, 99.0]"
H050_Q500,procedure average,"38.7 [35.7, 41.8]","100.0 [99.6, 100.0]","79.7 [77.1, 82.1]","40.7 [37.7, 43.8]","78.8 [76.2, 81.2]"
H065_C,fitted policy,"95.7 [94.3, 96.8]","100.0 [99.6, 100.0]","99.8 [99.3, 99.9]","95.8 [94.4, 96.9]","99.9 [99.4, 100.0]"
H065_C,procedure average,"52.0 [48.9, 55.1]","99.8 [99.3, 99.9]","89.4 [87.3, 91.2]","53.4 [50.3, 56.5]","89.8 [87.8, 91.5]"
H065_Q125,fitted policy,"95.2 [93.7, 96.4]","100.0 [99.6, 100.0]","99.7 [99.1, 99.9]","95.9 [94.5, 97.0]","99.9 [99.4, 100.0]"
H065_Q125,procedure average,"49.1 [46.0, 52.2]","99.8 [99.3, 99.9]","85.6 [83.3, 87.6]","50.3 [47.2, 53.4]","86.3 [84.0, 88.3]"
H065_Q500,fitted policy,"93.9 [92.2, 95.2]","99.0 [98.2, 99.5]","97.9 [96.8, 98.6]","94.5 [92.9, 95.8]","97.9 [96.8, 98.6]"
H065_Q500,procedure average,"30.0 [27.2, 32.9]","100.0 [99.6, 100.0]","73.4 [70.6, 76.0]","30.7 [27.9, 33.6]","74.5 [71.7, 77.1]"
S_N_C,fitted policy,"93.5 [91.8, 94.9]","99.8 [99.3, 99.9]","99.9 [99.4, 100.0]","93.8 [92.1, 95.1]","99.8 [99.3, 99.9]"
S_N_C,procedure average,"48.7 [45.6, 51.8]","100.0 [99.6, 100.0]","90.5 [88.5, 92.2]","49.1 [46.0, 52.2]","87.6 [85.4, 89.5]"
S_H_C,fitted policy,"93.8 [92.1, 95.1]","99.9 [99.4, 100.0]","99.6 [99.0, 99.8]","94.8 [93.2, 96.0]","99.7 [99.1, 99.9]"
S_H_C,procedure average,"51.1 [48.0, 54.2]","100.0 [99.6, 100.0]","88.2 [86.1, 90.1]","51.1 [48.0, 54.2]","89.3 [87.2, 91.1]"
